,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,Brainstem,SUM
LV:ventricles,0.4242671009771987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003257328990228013,0.03664495114006515,0.03528773072747014,0.011129207383279044,0.0,0.02252985884907709,0.08930510314875136,0.0,0.0,0.0,0.0,0.0,0.0,0.05591748099891422,0.1254071661237785,0.0,0.0,0.0,0.0,0.08387622149837133,0.002985884907709012,0.0,0.08061889250814332,0.028773072747014114,1.0
Md:medulla,0.4286746117732033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333694474539545,0.23763091368725173,1.0
Pn:pons,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018847718997644036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2490897408438638,0.5596487470550439,1.0
Cb:cerebellum,0.3210930828351836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022219059366796343,0.0,0.0,0.06752696334250562,0.04510231837302717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5359300376379795,0.008128538444507701,1.0
MB:midbrain,0.16471788432865103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09675900494389077,0.04473044024170133,0.0,0.0,0.03790316252059955,0.0,0.0,0.0,0.0,0.0,0.0,0.0018049125009809307,0.0005493211959507181,0.0,0.0,0.0,0.0,0.06285803970807502,0.0,0.00047084673938632975,0.17382092129012006,0.4163854665306443,1.0
Apul:anterior_pulvinar,0.6847027388109552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004008016032064128,0.002004008016032064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006680026720106881,0.0,0.0006680026720106881,0.019372077488309953,0.0,0.0,0.0,0.0,0.15297261189044756,0.0,0.0,0.0,0.13560454241816966,1.0
AM:anteromedial_thalamic_nucleus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AV:anteroventral_thalamic_nucleus,0.040697674418604654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9593023255813954,0.0,0.0,0.0,0.0,1.0
CM:central_medial_thalamic_nucleus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9653679653679653,0.0,0.0,0.0,0.03463203463203463,1.0
Cl:centrolateral_thalamic_nucleus,0.3876651982378855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5947136563876652,0.0,0.0,0.0,0.01762114537444934,1.0
