,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,CBL,SUM
grey:Basic_cell_groups_and_regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CH:Cerebrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CTX:Cerebral_cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CTXpl:Cortical_plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex:Isocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Frontal_pole_cerebral_cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Frontal_pole_layer_1,0.0,0.0,0.26995645863570394,0.7300435413642961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_2_3,0.0,0.0,0.35607094133697137,0.6439290586630286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_5,0.0,0.0,0.4445927903871829,0.5510680907877169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043391188251001335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_6a,0.02207505518763797,0.0,0.5849889624724062,0.36644591611479027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026490066225165563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_6b,0.3,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_MO:Somatomotor_areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO1:Somatomotor_areas_Layer_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO2_3:Somatomotor_areas_Layer_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO5:Somatomotor_areas_Layer_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO6a:Somatomotor_areas_Layer_6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO6b:Somatomotor_areas_Layer_6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Primary_motor_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
