,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,CBL,SUM
grey:Basic_cell_groups_and_regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CH:Cerebrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CTX:Cerebral_cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CTXpl:Cortical_plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex:Isocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Frontal_pole_cerebral_cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Frontal_pole_layer_1,0.0,0.0,0.21407837445573294,0.785921625544267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_2_3,0.0,0.0,0.2776261937244202,0.7223738062755798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_5,0.0,0.0,0.36882510013351133,0.6311748998664887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_6a,0.019867549668874173,0.0,0.5960264900662252,0.3741721854304636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009933774834437087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_6b,0.4,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_MO:Somatomotor_areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO1:Somatomotor_areas_Layer_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO2_3:Somatomotor_areas_Layer_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO5:Somatomotor_areas_Layer_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO6a:Somatomotor_areas_Layer_6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO6b:Somatomotor_areas_Layer_6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Primary_motor_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
